housing_ID,building_bumber,house_bumber,population,x,y,street_ID,region
126,12,497,1070,51.30225,64.70133333,C0044,5
127,1,78,207,56.51475,58.31733333,C0017,5
128,7,270,556,52.87075,51.997,C0015,5
129,3,374,846,47.9235,64.40366667,C0050,5
130,4,340,1135,62.81275,50.456,C0004,5
131,1,378,1049,54.92375,53.135,C0010,5
132,1,225,597,56.61075,57.70233333,C0017,5
133,3,281,746,57.61525,57.02166667,C0017,5
134,4,285,922,62.54375,59.334,C0038,5
135,1,62,144,52.9295,50.56466667,C0013,5
136,11,708,1971,52.20725,67.51133333,C0055,5
137,4,396,854,63.67925,50.285,C0003,5
138,10,781,1684,63.2495,49.09333333,C0003,5
139,7,508,1410,63.7355,58.698,C0036,5
140,3,190,504,56.91025,57.39466667,C0017,5
141,7,323,783,47.08325,61.783,C0049,5
142,8,562,1190,52.069,62.88766667,C0047,5
143,3,108,254,55.13225,59.117,C0020,5
144,7,740,1963,58.607,52.66533333,C0017,5
145,7,585,1418,45.91425,60.10366667,C0049,5
146,1,116,241,60.93575,55.52266667,C0026,5
147,2,173,646,58.06175,49.724,C0007,5
148,12,853,1959,55.549,51.79666667,C0006,5
149,7,667,1664,58.8405,61.229,C0028,5
150,5,316,669,51.97225,64.29866667,C0047,5
151,7,312,756,47.1875,61.748,C0049,5
152,4,219,464,52.363,65.05133333,C0047,5
153,5,344,729,51.30225,64.70133333,C0047,5
154,5,234,785,52.19525,50.20133333,C0057,5
155,5,414,871,63.03875,50.75,C0005,5
156,5,377,835,62.25075,57.269,C0018,5
157,7,672,1705,54.33875,68.61966667,C0056,5
158,3,354,1081,59.575,52.13,C0002,5
159,4,277,662,45.555,62.71533333,C0046,5
160,3,443,1044,55.7775,60.768,C0020,5
161,1,328,1095,61.739,49.78733333,C0004,5
162,1,240,514,51.48125,63.497,C0054,5
163,8,439,972,62.3865,56.51133333,C0018,5
164,2,111,261,55.38425,61.44333333,C0020,5
165,9,467,951,47.241,68.21,C0052,5
166,3,1185,2792,53.61875,56.017,C0020,5
167,3,188,523,51.77525,63.20433333,C0055,5
168,7,570,1315,63.351,60.701,C0031,5
169,30,3319,7330,65.207,43.51933333,E0033,2
170,34,2525,6309,70.639,43.302,E0007,2
171,19,1796,3659,67.0455,44.802,E0009,2
172,24,2413,7817,71.0105,42.38133333,E0018,2
173,30,5230,11489,69.831,42.30766667,E0008,2
174,12,2138,4315,71.83375,43.15266667,E0015,2
175,22,2689,6719,69.92325,43.50333333,E0007,2
176,10,2230,5153,71.341,44.70133333,E0014,2
177,16,2773,7266,70.90775,48.64733333,E0030,2
178,34,982,1995,65.6145,39.48133333,E0012,2
179,26,1506,3126,67.4835,44.941,E0025,2
180,20,873,1758,65.102,44.648,E0034,2
181,13,1015,2220,70.453,44.53666667,E0006,2
182,23,2646,6031,68.039,43.39566667,E0026,2
183,36,3631,7397,66.989,42.92033333,E0009,2
184,30,1187,2534,67.47,39.07533333,E0004,2
185,22,2257,5378,67.5625,58.10833333,E0036,2
186,11,2096,5930,67.587,50.60766667,E0043,2
187,22,1417,3980,69.039,39.584,E0005,2
188,11,668,1460,69.7945,45.44566667,E0006,2
189,10,1468,2963,72.028,42.136,E0015,2
190,15,828,1811,69.73125,45.82166667,E0006,2
191,19,3514,7681,70.003,39.86933333,E0017,2
192,23,2843,7986,68.2335,42.638,E0005,2
193,21,2067,4413,68.11475,41.19933333,E0004,2
194,14,1577,5100,69.7045,47.017,E0029,2
195,6,841,1872,65.84775,49.316,E0028,2
196,8,1471,3173,72.017,44.695,E0024,2
197,10,740,1767,65.83575,41.47866667,E0013,2
198,16,1941,4834,70.39425,41.30666667,E0021,2
199,17,1315,2875,70.006,40.96266667,E0006,2
200,7,1402,3766,70.55975,49.01266667,E0023,2
201,14,989,2307,73.0965,41.24733333,E0016,2
202,9,585,1249,67.4495,40.66166667,E0004,2
203,6,576,1313,68.82075,45.42533333,E0026,2
204,19,849,1936,69.503,46.564,E0026,2
205,9,754,1766,68.626,44.94466667,E0027,2
206,19,2248,6361,67.465,51.49333333,E0043,2
207,54,2464,5774,67.989,46.33666667,E0027,2
208,19,1032,2585,70.937,39.58,E0022,2
209,27,1356,2987,69.59625,57.404,E0037,2
210,2,1024,2366,69.32625,41.47733333,E0014,2
211,9,2135,4704,69.95525,51.49266667,E0037,2
212,10,389,792,68.8075,40.72033333,E0009,2
213,15,1401,3119,67.00725,47.101,E0028,2
214,13,648,1398,70.2315,46.18333333,E0024,2
215,10,963,2077,69.99225,47.49933333,E0024,2
216,9,537,1178,67.3405,41.35233333,E0010,2
217,8,658,1648,70.06825,44.87966667,E0022,2
218,5,985,2413,75.01,44.28766667,E0048,2
219,45,1920,5284,68.21975,63.73766667,E0040,2
220,7,532,1084,68.85525,40.19933333,E0009,2
221,24,3214,10019,71.182,57.13766667,E0039,2
222,18,969,2135,69.585,58.316,E0037,2
223,6,1619,4076,67.14475,55.19533333,E0038,2
224,7,587,1472,70.707,45.44966667,E0022,2
225,18,1104,2421,66.41475,42.13633333,E0010,2
226,6,533,1169,66.6195,41.69066667,E0010,2
227,18,1385,3299,67.89175,59.89166667,E0036,2
228,9,426,868,67.245,45.324,E0009,2
229,10,1746,4267,67.77775,50.99533333,E0042,2
230,10,1389,3823,68.0195,61.074,E0040,2
231,10,1389,3497,68.58475,56.50633333,E0038,2
232,5,380,906,65.83275,41.93,E0013,2
233,12,1022,2065,71.92425,48.28533333,E0020,2
234,15,993,2004,71.274,40.673,E0015,2
235,11,820,2065,68.60575,57.37633333,E0038,2
236,5,214,434,65.605,40.305,E0012,2
237,10,988,2561,67.86775,53.39533333,E0041,2
238,5,734,1902,68.5165,54.514,E0041,2
239,9,1049,2312,70.379,57.67366667,E0037,2
240,7,632,1277,69.99225,47.49933333,E0020,2
241,7,950,2263,66.8035,60.90766667,E0036,2
242,10,643,1431,66.96525,48.70366667,E0028,2
243,7,1048,2884,67.768,61.501,E0040,2
244,14,1108,2872,68.619,52.46666667,E0041,2
245,13,1378,3599,74.109,57.37833333,E0032,2
246,7,371,756,67.3145,46.001,E0009,2
247,22,1296,3384,73.27525,57.13,E0032,2
248,22,3232,8489,68.5155,65.00933333,E0031,2
249,11,507,1182,72.0745,40.07966667,E0016,2
250,2,1056,2152,69.0045,41.487,E0010,2
251,5,471,1122,67.2635,57.688,E0036,2
252,2,116,236,66.215,38.96966667,E0012,2
253,5,316,642,66.4905,39.20033333,E0012,2
254,7,1182,2401,65.42975,40.515,E0011,2
255,4,141,309,66.871,40.652,E0010,2
256,4,273,637,73.25775,41.972,E0016,2
257,7,424,1010,67.71275,58.41866667,E0036,2
258,9,541,1187,67.54575,47.23233333,E0010,2
259,3,272,597,66.64575,40.67166667,E0010,2
260,3,350,768,68.2345,41.91166667,E0034,2
261,3,255,639,69.5675,45.103,E0022,2
262,8,749,1941,68.2365,47.51433333,E0041,2
263,3,276,659,65.54975,41.16666667,E0011,2
264,5,748,1745,71.605,39.511,E0016,2
265,10,617,1470,67.94925,58.136,E0036,2
266,9,482,971,66.317,44.32666667,E0044,2
267,5,309,1081,66.46475,40.199,E0011,2
268,14,1990,5157,69.99775,58.885,E0041,2
269,7,485,1215,70.054,41.51266667,E0022,2
270,4,593,1536,67.86775,53.39533333,E0041,2
271,2,212,742,66.48625,38.87866667,E0011,2
272,3,246,861,66.815,39.08266667,E0011,2
273,17,1000,2383,67.483,56.283,E0036,2
274,27,2885,5828,68.59375,48.49933333,E0020,2
275,2,258,600,73.47875,46.547,E0019,2
276,11,1076,2563,67.963,57.25833333,E0036,2
277,2,282,706,69.81875,38.92933333,E0022,2
278,14,1652,3936,69.6635,61.60966667,E0036,2
279,5,480,969,71.36125,41.358,E0022,2
280,41,2100,4251,68.85625,64.34633333,E0001,2
281,14,1158,2344,67.5355,56.52433333,E0001,2
282,2,142,356,69.44425,39.86133333,E0022,2
283,4,309,1082,65.83275,41.93,E0011,2
284,2,104,364,66.2755,40.359,E0011,2
285,2,312,1078,66.6195,45.93133333,E0044,2
286,5,128,320,71.246,45.51933333,E0022,2
287,5,546,1368,68.5475,38.63733333,E0022,2
288,14,1021,2730,71.38225,39.25,E0047,2
289,5,261,698,72.06525,39.70766667,E0047,2
290,4,701,1874,71.5325,38.88933333,E0047,2
291,6,350,813,73.024,40.22866667,E0019,2
292,9,1114,2251,72.87525,52.723,E0020,2
293,5,314,636,67.71275,58.41866667,E0003,2
294,3,413,834,68.6575,55.80366667,E0003,2
295,5,404,1395,67.2,45.91933333,E0044,2
296,3,260,652,71.54525,39.90433333,E0047,2
297,2,68,238,66.871,40.652,E0011,2
298,6,406,1086,73.23775,38.74066667,E0047,2
299,9,695,2471,67.57075,57.03266667,E0003,2
300,5,179,478,69.27,40.59366667,E0047,2
301,4,287,667,72.8875,40.49833333,E0019,2
302,3,180,481,72.24575,39.43233333,E0047,2
303,10,214,572,70.2915,38.77566667,E0047,2
304,7,634,2189,67.77775,50.99533333,E0044,2
305,18,1155,2683,72.0045,47.59866667,E0019,2
306,5,546,1459,71.91125,38.727,E0047,2
307,7,261,901,67.627,46.98733333,E0044,2
308,4,267,714,72.6265,38.864,E0047,2
309,8,689,2379,68.81075,53.63366667,E0044,2
310,10,1362,3557,73.27525,57.13,E0032,2
311,16,1426,3872,69.32225,61.003,E0002,2
312,3,201,695,67.068,46.22466667,E0044,2
313,3,128,449,66.2495,40.686,E0011,2
314,3,221,774,65.9745,40.83733333,E0011,2
315,5,1414,3781,72.58175,42.30033333,E0049,2
316,14,1403,3664,69.36425,59.65533333,E0032,2
317,3,398,1374,68.8655,43.84633333,E0044,2
318,6,313,818,72.83775,49.97633333,E0032,2
319,3,375,833,72.8075,39.50733333,E0049,2
320,6,318,706,72.18775,38.774,E0049,2
321,5,708,1849,72.82075,55.01466667,E0032,2
322,5,158,553,66.0505,39.726,E0044,2
323,3,98,338,66.5995,47.025,E0044,2
324,2,102,214,68.95075,38.95966667,E0046,2
325,4,315,699,70.52275,41.28766667,E0049,2
326,2,318,736,68.583,53.73533333,E0035,2
327,2,510,1068,68.52525,39.093,E0046,2
328,3,188,426,69.81875,38.92933333,E0050,2
329,4,467,977,67.55425,38.51566667,E0046,2
330,6,272,666,74.0815,49.089,E0048,2
331,3,611,1356,70.9105,40.321,E0049,2
332,9,385,1329,68.58675,51.26266667,E0045,2
333,6,757,1854,73.83675,46.59833333,E0048,2
334,10,649,1589,73.05575,45.58766667,E0048,2
335,3,261,929,67.453,60.40333333,E0003,2
336,8,538,1857,68.21125,54.25433333,E0045,2
337,6,408,1514,67.25775,45.35366667,E0045,2
338,23,1634,5084,42.75875,34.76633333,A0059,1
339,35,3043,7500,48.689,37.41133333,A0049,1
340,16,1740,4024,41.47625,34.62566667,A0057,1
341,77,4467,11681,49.436,28.84566667,A0029,1
342,117,5933,15044,50.02875,32.9,A0025,1
343,15,1757,4064,41.05925,33.942,A0057,1
344,9,1845,5865,38.97825,32.66666667,A0012,1
345,15,849,2641,43.17925,34.57,A0059,1
346,6,1426,3002,39.89925,32.69233333,A0014,1
347,13,1197,3721,43.138,35.94733333,A0069,1
348,55,2434,7011,49.41125,30.84566667,A0027,1
349,20,1420,3500,49.80125,36.685,A0049,1
350,14,1195,4149,47.906,38.67333333,A0051,1
351,16,1337,2790,46.755,36.30833333,A0054,1
352,21,3255,8168,45.3055,38.50366667,A0056,1
353,49,3507,8963,37.7225,31.45466667,A0066,1
354,7,615,1375,43.77175,33.98933333,A0011,1
355,56,3487,7917,45.75625,32.505,A0068,1
356,29,1813,3662,53.675,30.58233333,A0065,1
357,107,4481,10302,50.5845,47.334,A0040,1
358,17,1275,2870,42.62975,32.278,A0017,1
359,13,1113,3865,46.059,38.33733333,A0051,1
360,12,1514,4576,47.74575,37.20233333,A0053,1
361,5,1086,2243,55.28775,37.91666667,A0020,1
362,16,1108,2316,48.347,39.45833333,A0050,1
363,49,3384,10110,49.30275,45.742,A0039,1
364,7,471,1089,42.226,35.32366667,A0057,1
365,67,3361,8045,52.6075,41.79666667,A0032,1
366,27,1205,2645,55.04,47.81466667,A0035,1
367,12,1262,2634,46.0245,35.53233333,A0054,1
368,11,594,1315,44.117,35.79,A0055,1
369,24,1590,3297,54.61325,36.26433333,A0024,1
370,15,674,1867,43.15775,30.433,A0064,1
371,12,375,1209,55.34575,34.11333333,A0031,1
372,84,2040,7821,55.63725,40.17033333,A0021,1
373,71,4529,9143,50.74475,47.064,A0061,1
374,7,932,1962,39.85075,32.49933333,A0014,1
375,9,623,1535,49.10175,35.84,A0049,1
376,17,1049,2949,51.80225,28.12866667,A0028,1
377,9,1425,3337,47.8025,32.083,A0016,1
378,5,1525,3375,44.244,37.49833333,A0055,1
379,7,376,1188,54.7885,37.86833333,A0023,1
380,6,353,1099,43.091,33.894,A0059,1
381,47,3537,9794,44.502,30.23433333,A0064,1
382,15,617,1275,55.0025,37.66,A0020,1
383,16,665,1497,42.65575,33.113,A0017,1
384,9,833,1875,43.02325,31.33966667,A0017,1
385,39,2449,8023,53.28675,46.66466667,A0038,1
386,9,793,2229,51.872,28.98866667,A0028,1
387,8,599,1326,44.90325,37.012,A0055,1
388,2,840,1876,51.1505,46.438,A0043,1
389,16,1957,4295,54.5055,46.935,A0035,1
390,7,548,1446,54.254,28.569,A0030,1
391,32,1323,2959,49.9965,46.14333333,A0042,1
392,7,856,2259,53.8205,29.22433333,A0030,1
393,19,753,1556,46.48725,28.02866667,A0018,1
394,52,1770,3949,55.27,41.18333333,A0033,1
395,35,1875,5720,48.58425,44.49433333,A0045,1
396,7,642,1436,44.37675,34.04133333,A0011,1
397,7,490,1525,43.42575,34.56466667,A0059,1
398,24,1157,2399,54.45975,35.82933333,A0024,1
399,40,1406,4714,51.1675,48.69333333,A0041,1
400,31,784,1942,50.5375,38.68866667,A0048,1
401,7,761,1702,44.9685,34.52166667,A0011,1
402,5,405,1259,42.80225,35.961,A0069,1
403,45,2166,4832,55.38575,42.27933333,A0033,1
404,16,1194,2859,53.57275,41.73266667,A0032,1
405,5,888,1851,50.4275,47.85333333,A0044,1
406,8,622,1377,43.84725,36.19,A0055,1
407,10,727,1691,46.743,40.117,A0052,1
408,7,488,1475,47.33025,37.52133333,A0053,1
409,48,2250,5681,54.214,39.14766667,A0022,1
410,16,899,2738,46.913,32.34366667,A0013,1
411,8,499,1124,42.62975,32.278,A0017,1
412,44,2357,4869,55.6465,38.60466667,A0020,1
413,50,2769,6991,54.06125,39.91733333,A0022,1
414,7,763,2372,42.35325,35.72233333,A0069,1
415,18,771,1785,56.2065,31.90066667,A0058,1
416,15,915,1926,40.39075,32.778,A0014,1
417,10,892,2696,48.08775,36.79166667,A0053,1
418,38,1651,3689,52.30825,49.26166667,A0043,1
419,30,1829,4378,51.93975,43.197,A0032,1
420,15,1193,2490,48.70225,33.239,A0054,1
421,25,1132,3574,53.8605,38.35566667,A0023,1
422,12,5079,10461,51.10175,29.02566667,A0010,1
423,7,719,1663,42.5135,35.58633333,A0057,1
424,5,165,341,55.84825,37.191,A0020,1
425,31,1335,3615,55.14525,45.00633333,A0037,1
426,7,321,847,54.563,30.49166667,A0030,1
427,56,1270,2787,53.44725,47.28433333,A0035,1
428,47,2079,5487,55.24075,30.42466667,A0030,1
429,6,594,1795,47.2305,36.925,A0053,1
430,29,1498,3473,52.558,46.72366667,A0034,1
431,49,2148,6283,57.07775,39.40533333,A0008,1
432,13,1162,3546,48.24675,43.37533333,A0045,1
433,19,542,1120,45.72775,28.51466667,A0018,1
434,11,914,2044,49.4825,46.868,A0042,1
435,19,965,1949,54.7005,30.88133333,A0065,1
436,8,406,1282,54.4825,37.58733333,A0023,1
437,42,1707,3808,54.87475,40.39066667,A0033,1
438,21,1010,2502,49.408,38.216,A0048,1
439,5,709,1569,44.85,37.52333333,A0055,1
440,46,2535,5586,57.06175,38.81066667,A0005,1
441,35,1031,2390,51.427,44.41866667,A0034,1
442,4,364,847,47.172,41.12033333,A0052,1
443,30,1286,4196,57.4415,47.69566667,A0001,1
444,2,280,872,44.37875,34.50333333,A0059,1
445,38,1904,4201,48.158,45.16233333,A0063,1
446,23,831,1714,53.827,47.566,A0036,1
447,45,1658,3559,53.1375,39.43333333,A0019,1
448,11,520,1162,50.96125,47.57733333,A0043,1
449,20,1200,2504,47.251,35.70866667,A0054,1
450,5,320,709,45.83775,36.80566667,A0055,1
451,18,1028,2546,50.51975,37.56133333,A0048,1
452,11,549,1156,40.39075,32.778,A0014,1
453,6,634,1826,48.99475,32.85333333,A0027,1
454,6,187,581,42.53,34.007,A0059,1
455,7,589,1316,51.243,48.33733333,A0043,1
456,47,2187,4903,49.1365,29.98333333,A0067,1
457,2,94,190,54.76675,31.599,A0065,1
458,26,1035,2944,49.889,42.48033333,A0046,1
459,27,1061,3017,50.366,42.937,A0046,1
460,11,576,1297,43.0295,31.23133333,A0017,1
461,3,369,825,50.54725,44.68933333,A0042,1
462,2,1102,2320,40.2895,33.04133333,A0014,1
463,15,983,2287,47.821,40.92433333,A0052,1
464,6,544,1473,53.99125,45.526,A0037,1
465,7,454,1022,42.4505,32.70066667,A0017,1
466,7,239,529,43.9635,36.46966667,A0055,1
467,9,380,1225,55.8715,34.81633333,A0031,1
468,26,1201,3061,48.152,43.65966667,A0062,1
469,18,1137,3197,52.6495,28.10433333,A0028,1
470,9,651,1968,47.6155,36.35033333,A0053,1
471,12,876,1807,52.80575,46.87166667,A0036,1
472,19,660,1580,53.224,41.62633333,A0032,1
473,6,408,918,42.04175,33.07666667,A0017,1
474,8,341,844,50.57225,36.94466667,A0048,1
475,7,1061,3206,47.24825,36.61566667,A0053,1
476,4,819,1905,47.56775,42.207,A0052,1
477,2,126,384,57.45625,41.65266667,A0007,1
478,6,514,1423,43.47625,30.68466667,A0064,1
479,22,762,1679,55.655,41.374,A0005,1
480,11,718,1499,45.9275,34.61366667,A0054,1
481,7,515,1151,44.0175,33.524,A0011,1
482,3,1652,7939,54.8675,46.119,A0002,1
483,7,1021,2391,48.0875,31.67666667,A0016,1
484,6,390,814,46.55825,35.337,A0054,1
485,32,1481,3180,53.95775,40.00266667,A0019,1
486,26,1304,5043,59.73975,42.683,A0003,1
487,7,488,1090,50.803,47.76933333,A0043,1
488,31,647,1323,58.75,41.55866667,A0006,1
489,3,222,771,46.02075,38.67833333,A0051,1
490,10,552,1293,48.13125,31.011,A0016,1
491,10,757,1761,47.707,40.52633333,A0052,1
492,8,475,1105,47.7765,40.16733333,A0052,1
493,11,715,1571,46.63425,41.479,A0060,1
494,2,252,784,42.5045,34.16866667,A0059,1
495,13,281,858,54.4355,43.782,A0007,1
496,4,644,1344,45.49325,34.45,A0054,1
497,10,392,820,48.021,41.076,A0050,1
498,30,2256,4646,50.2395,25.48766667,A0010,1
499,24,848,2412,53.869,40.47,A0046,1
500,11,395,1007,47.5845,41.40233333,A0062,1
501,4,413,1434,46.6875,40.463,A0051,1
502,16,729,1858,48.628,43.672,A0062,1
503,2,126,278,54.235,41.44333333,A0005,1
504,35,1103,2278,54.555,39.28433333,A0020,1
505,17,743,2246,47.8065,37.56533333,A0053,1
506,4,365,762,46.65775,35.38066667,A0054,1
507,42,1628,3465,53.2655,39.483,A0047,1
508,5,360,904,45.3195,38.03233333,A0056,1
509,7,651,1456,43.482,31.97533333,A0011,1
510,13,629,1392,44.97475,36.96333333,A0055,1
511,7,302,666,54.8445,41.85566667,A0005,1
512,7,266,557,48.075,41.716,A0050,1
513,29,1297,2761,50.03725,40.495,A0047,1
514,9,335,1013,48.37025,35.10233333,A0053,1
515,7,477,996,45.97875,36.11966667,A0054,1
516,24,915,1948,53.672,41.37966667,A0047,1
517,7,291,601,54.2435,39.64866667,A0020,1
518,3,582,1202,55.179,39.30433333,A0020,1
519,16,1151,2450,52.75475,40.409,A0047,1
520,19,1023,2534,50.47725,40.689,A0048,1
521,5,240,611,47.56025,41.979,A0062,1
522,9,425,958,53.7865,36.51966667,A0015,1
523,3,339,1062,56.7315,47.796,A0004,1
524,3,309,638,56.0295,37.85766667,A0020,1
525,9,500,1118,50.72,44.068,A0042,1
526,7,223,509,55.548,32.10533333,A0026,1
527,29,1724,3865,49.87525,29.77433333,A0067,1
528,13,336,1045,42.33675,35.782,A0069,1
529,6,180,560,43.65725,35.41066667,A0059,1
530,9,250,559,50.00225,46.30466667,A0042,1
531,4,224,777,46.719,38.424,A0051,1
532,13,506,1071,53.156,26.024,A0009,1
533,4,371,815,46.63775,41.38666667,A0060,1
534,12,265,535,55.15775,31.516,A0065,1
535,17,418,864,54.2205,39.185,A0020,1
536,4,223,466,50.1485,41.49733333,A0050,1
537,8,467,975,46.3,36.04,A0054,1
538,22,1434,3061,35.04125,46.06633333,D0012,6
539,18,1385,2955,35.78375,45.82933333,D0012,6
540,6,1423,4838,43.1275,45.79266667,D0030,6
541,32,1282,3315,39.8,45.71633333,D0007,6
542,43,2207,8092,39.568,49.321,D0008,6
543,48,2747,6062,47.31625,45.98333333,D0028,6
544,7,1010,2312,43.67225,54.25733333,D0022,6
545,11,2408,5405,35.624,50.11233333,D0041,6
546,28,2783,6944,29.79675,42.281,D0047,6
547,10,889,1897,35.02825,46.675,D0012,6
548,34,1312,3208,34.26675,42.40666667,D0045,6
549,20,1027,2267,45.78525,45.30866667,D0028,6
550,18,923,1934,44.6105,53.119,D0037,6
551,12,647,1380,35.0735,45.227,D0012,6
552,20,954,2095,46.4025,43.75466667,D0014,6
553,46,2467,5588,32.53,52.174,D0040,6
